id,titulo,tipo,genero,tema,estilo,contexto,tags,descricao
1,Warhammer 40K: Dawn of War,jogo,Estratégia,Guerra Futurista,Militarista,Distopia,"RTS;warhammer;space marine","RTS no universo Warhammer 40K"
2,Space Marine,jogo,Ação,Combate Tático,Violento,Distopia,"TPS;warhammer;imperium","TPS com combate intenso no 40K"
3,The Witcher 3: Wild Hunt,jogo,RPG,Caça a Monstros,Épico,Fantasia Medieval,"RPG;cdpr;geralt","RPG em mundo aberto baseado nos livros de Andrzej Sapkowski."
4,Elden Ring,jogo,RPG,Exploração,Épico,Fantasia Sombria,"soulslike;openworld;fromsoftware","RPG de ação em mundo aberto."
5,Hades,jogo,Roguelike,Mitologia Grega,Ação,Submundo,"roguelike;indie;hades","Jogo roguelike premiado baseado na mitologia grega."
6,Blade Runner 2049,filme,Ficção Científica,Identidade,Noir,Futuro Distópico,"androids;replicants;neo-noir","Filme sobre o que significa ser humano."
7,Duna,filme,Ficção Científica,Política e Religião,Épico,Planeta Desértico,"spice;atreides;imperium","Filme baseado na obra de Frank Herbert."
8,Matrix,filme,Ficção Científica,Realidade Virtual,Cyberpunk,Futuro Distópico,"matrix;ai;cyberpunk","Clássico cyberpunk sobre realidade simulada."
9,O Senhor dos Anéis: A Sociedade do Anel,filme,Fantasia,Jornada Épica,Épico,Terra Média,"tolkien;fantasy;ring","Primeiro filme da trilogia de Tolkien."
10,Mad Max: Estrada da Fúria,filme,Ação,Sobrevivência,Pós-apocalíptico,Deserto,"cars;survival;apocalypse","Filme de ação em um futuro pós-apocalíptico."
11,Duna,livro,Ficção Científica,Política e Religião,Épico,Planeta Desértico,"spice;atreides;imperium","Clássico da ficção científica com intrigas políticas."
12,Neuromancer,livro,Ficção Científica,Inteligência Artificial,Cyberpunk,Futuro Distópico,"ai;cyberspace;hacker","Livro seminal do gênero cyberpunk."
13,O Hobbit,livro,Fantasia,Aventura,Épico,Terra Média,"tolkien;smaug;fantasy","Livro de fantasia de J.R.R. Tolkien."
14,Fundação,livro,Ficção Científica,Ascensão e Queda de Impérios,Clássico,Galáxia,"asimov;foundation;galactic","Clássico da ficção científica de Isaac Asimov."
15,Drácula,livro,Terror,Vampiros,Gótico,Europa Vitoriana,"vampire;classic;gothic","Clássico do terror gótico de Bram Stoker."
16,The Expanse,série,Ficção Científica,Política Espacial,Realista,Espaço,"scifi;politics;belters","Série sobre tensões políticas no sistema solar."
17,Game of Thrones,série,Fantasia,Intriga Política,Épico,Continente de Westeros,"got;hbo;fantasy","Série baseada nas Crônicas de Gelo e Fogo."
18,Dark,série,Ficção Científica,Viagem no Tempo,Mistério,Alemanha,"time-travel;thriller;german","Série alemã de mistério sobre viagens no tempo."
19,Stranger Things,série,Ficção Científica,Amizade e Horror,Anos 80,Cidade de Hawkins,"netflix;horror;friends","Série da Netflix que mistura nostalgia e terror."
20,The Witcher,série,Fantasia,Caça a Monstros,Épico,Continente,"witcher;netflix;geralt","Série baseada nos livros e jogos da franquia Witcher."
